locus_tag	ftype	length_bp	gene	EC_number	COG	product
ECADFAHP_00703	CDS	1242			COG2081	putative protein
ECADFAHP_00704	CDS	630	resA_2			Thiol-disulfide oxidoreductase ResA
ECADFAHP_00705	CDS	507				hypothetical protein
ECADFAHP_00706	CDS	1677	pvaA_1	1.1.2.6		Polyvinylalcohol dehydrogenase
ECADFAHP_00707	CDS	1260	macA_1		COG0845	Macrolide export protein MacA
ECADFAHP_00708	CDS	2472	yknZ_1		COG0577	putative ABC transporter permease YknZ
ECADFAHP_00709	CDS	699	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
ECADFAHP_00710	CDS	2421	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
ECADFAHP_00711	CDS	1365	dapE_1	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
ECADFAHP_00712	CDS	495				hypothetical protein
ECADFAHP_00713	CDS	1023				hypothetical protein
ECADFAHP_00714	CDS	759				hypothetical protein
ECADFAHP_00715	CDS	1050				hypothetical protein
ECADFAHP_00716	CDS	306				hypothetical protein
ECADFAHP_00717	CDS	2145				hypothetical protein
ECADFAHP_00718	CDS	753	tonB		COG0810	Protein TonB
ECADFAHP_00719	CDS	858	kdkA	2.7.1.166		3-deoxy-D-manno-octulosonic acid kinase
ECADFAHP_00720	CDS	2481				hypothetical protein
ECADFAHP_00721	CDS	1356				hypothetical protein
ECADFAHP_00722	CDS	1380	ankX	2.7.1.-	COG0666	Phosphocholine transferase AnkX
ECADFAHP_00723	CDS	510				hypothetical protein
ECADFAHP_00724	CDS	603	resA_3			Thiol-disulfide oxidoreductase ResA
ECADFAHP_00725	CDS	999				hypothetical protein
ECADFAHP_00726	CDS	2481				hypothetical protein
ECADFAHP_00727	CDS	411				hypothetical protein
ECADFAHP_00728	CDS	594	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
ECADFAHP_00729	CDS	423				hypothetical protein
ECADFAHP_00730	CDS	561				hypothetical protein
ECADFAHP_00731	CDS	666	nicS			HTH-type transcriptional repressor NicS
ECADFAHP_00732	CDS	957				hypothetical protein
ECADFAHP_00733	CDS	966	ybhF_1		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
ECADFAHP_00734	CDS	1107	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
ECADFAHP_00735	CDS	2217	iorB	1.3.99.16		Isoquinoline 1-oxidoreductase subunit beta
ECADFAHP_00736	CDS	474	iorA	1.3.99.16		Isoquinoline 1-oxidoreductase subunit alpha
ECADFAHP_00737	CDS	1197	dhaT	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
ECADFAHP_00738	CDS	363				hypothetical protein
ECADFAHP_00739	CDS	549	cpoB_2		COG1729	Cell division coordinator CpoB
ECADFAHP_00740	CDS	1620	gltB_3	1.4.1.13		Glutamate synthase [NADPH] large chain
ECADFAHP_00741	CDS	711				hypothetical protein
ECADFAHP_00742	CDS	507				hypothetical protein
ECADFAHP_00743	CDS	507	adhB_1	1.1.5.5		Alcohol dehydrogenase (quinone), cytochrome c subunit
ECADFAHP_00744	CDS	948				hypothetical protein
ECADFAHP_00745	CDS	786				hypothetical protein
ECADFAHP_00746	CDS	777				hypothetical protein
ECADFAHP_00747	CDS	813				hypothetical protein
ECADFAHP_00748	CDS	441	badR			Transcriptional activatory protein BadR
ECADFAHP_00749	CDS	1572	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
ECADFAHP_00750	CDS	516	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
ECADFAHP_00751	CDS	1509	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
ECADFAHP_00752	CDS	1824	mutL			DNA mismatch repair protein MutL
ECADFAHP_00753	CDS	960	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
ECADFAHP_00754	CDS	273	hfq			RNA-binding protein Hfq
ECADFAHP_00755	CDS	1389	hflX		COG2262	GTPase HflX
ECADFAHP_00756	CDS	1215	hflK		COG0330	Modulator of FtsH protease HflK
ECADFAHP_00757	CDS	873	hflC		COG0330	Modulator of FtsH protease HflC
ECADFAHP_00758	CDS	249				hypothetical protein
ECADFAHP_00759	CDS	1191	hisZ		COG3705	ATP phosphoribosyltransferase regulatory subunit
ECADFAHP_00760	CDS	1296	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
ECADFAHP_00761	CDS	903	mak	2.7.1.4	COG1940	Fructokinase
ECADFAHP_00762	CDS	1095				hypothetical protein
ECADFAHP_00763	CDS	174				hypothetical protein
ECADFAHP_00764	CDS	429				hypothetical protein
ECADFAHP_00765	CDS	615	yohC			Inner membrane protein YohC
ECADFAHP_00766	CDS	1440	ccoN1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
ECADFAHP_00767	CDS	630				hypothetical protein
ECADFAHP_00768	CDS	132				hypothetical protein
ECADFAHP_00769	CDS	927	ccoP1			Cbb3-type cytochrome c oxidase subunit CcoP1
ECADFAHP_00770	CDS	492				hypothetical protein
ECADFAHP_00771	CDS	489				hypothetical protein
ECADFAHP_00772	CDS	1356	yhjE			Inner membrane metabolite transport protein YhjE
ECADFAHP_00773	CDS	513	yceJ_2		COG3038	Cytochrome b561 
ECADFAHP_00774	CDS	744				hypothetical protein
ECADFAHP_00775	CDS	429				hypothetical protein
ECADFAHP_00776	CDS	513	yodB		COG3038	Cytochrome b561 
ECADFAHP_00777	CDS	606				hypothetical protein
ECADFAHP_00778	CDS	951				hypothetical protein
ECADFAHP_00779	CDS	390				hypothetical protein
ECADFAHP_00780	CDS	114				hypothetical protein
ECADFAHP_00781	CDS	1281				hypothetical protein
ECADFAHP_00782	CDS	573				hypothetical protein
ECADFAHP_00783	CDS	261				hypothetical protein
ECADFAHP_00784	CDS	633	cc4_1		COG2863	Cytochrome c4
ECADFAHP_00785	CDS	1575	rebO_1	1.4.3.23		Flavin-dependent L-tryptophan oxidase RebO
ECADFAHP_00786	CDS	1137				hypothetical protein
ECADFAHP_00787	CDS	576				hypothetical protein
ECADFAHP_00788	CDS	318				hypothetical protein
ECADFAHP_00789	CDS	432				hypothetical protein
ECADFAHP_00790	CDS	405	walR_1		COG0745	Transcriptional regulatory protein WalR
ECADFAHP_00791	CDS	1695	nfdA_1	3.5.1.91		N-substituted formamide deformylase
ECADFAHP_00792	CDS	624	flr			Flavoredoxin
ECADFAHP_00793	CDS	1116				hypothetical protein
ECADFAHP_00794	CDS	339				hypothetical protein
ECADFAHP_00795	CDS	837				hypothetical protein
ECADFAHP_00796	CDS	948	gshB_1	6.3.2.3	COG0189	Glutathione synthetase
ECADFAHP_00797	CDS	504				hypothetical protein
ECADFAHP_00798	CDS	909				hypothetical protein
ECADFAHP_00799	CDS	936	epsE_2	2.4.-.-	COG0463	Putative glycosyltransferase EpsE
ECADFAHP_00800	CDS	3147	wbbL_2	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
ECADFAHP_00801	CDS	726				hypothetical protein
ECADFAHP_00802	CDS	843	dapF_1	5.1.1.7	COG0253	Diaminopimelate epimerase
ECADFAHP_00803	CDS	1248	lysA_1	4.1.1.20	COG0019	Diaminopimelate decarboxylase
ECADFAHP_00804	CDS	936	ybhF_2		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
ECADFAHP_00805	CDS	735				hypothetical protein
ECADFAHP_00806	CDS	1977				hypothetical protein
ECADFAHP_00807	CDS	1344	baeS_1	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
ECADFAHP_00808	CDS	699	ompR_1			Transcriptional regulatory protein OmpR
ECADFAHP_00809	CDS	1887	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
ECADFAHP_00810	CDS	1068	htrA			Putative serine protease HtrA
ECADFAHP_00811	CDS	1557	argH	4.3.2.1	COG0165	Argininosuccinate lyase
ECADFAHP_00812	CDS	801	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
ECADFAHP_00813	CDS	1125	hemX		COG2959	Protein HemX
ECADFAHP_00814	CDS	1290	hemY		COG3071	Protein HemY
ECADFAHP_00815	CDS	1473	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
ECADFAHP_00816	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
ECADFAHP_00817	CDS	327	trxA		COG0526	Thioredoxin 1
ECADFAHP_00818	CDS	1011	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
ECADFAHP_00819	CDS	2136	merA	1.16.1.1		Mercuric reductase
ECADFAHP_00820	CDS	1575	gshA_1	6.3.2.2	COG2918	Glutamate--cysteine ligase
ECADFAHP_00821	CDS	402	hslR		COG1188	Heat shock protein 15
ECADFAHP_00822	CDS	657	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
ECADFAHP_00823	CDS	840	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
ECADFAHP_00824	CDS	1275			COG1680	putative protein
ECADFAHP_00825	CDS	498				hypothetical protein
ECADFAHP_00826	CDS	489	ydaF_1	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
ECADFAHP_00827	CDS	579	thpR	3.1.4.-		RNA 2',3'-cyclic phosphodiesterase
ECADFAHP_00828	CDS	1656	mcd	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
ECADFAHP_00829	CDS	858				hypothetical protein
ECADFAHP_00830	CDS	1221	mct	5.4.1.3	COG1804	2-methylfumaryl-CoA isomerase
ECADFAHP_00831	CDS	681	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ECADFAHP_00832	CDS	414				hypothetical protein
ECADFAHP_00833	CDS	1680				hypothetical protein
ECADFAHP_00834	CDS	369			COG3245	Cytochrome c-555
ECADFAHP_00835	CDS	1365		1.1.2.-	COG0277	L-gulono-1,4-lactone dehydrogenase
ECADFAHP_00836	CDS	375				hypothetical protein
ECADFAHP_00837	CDS	1242		4.1.2.42		D-threonine aldolase
ECADFAHP_00838	CDS	645	vraR		COG2197	Response regulator protein VraR
ECADFAHP_00839	CDS	1170	desK	2.7.13.3	COG4585	Sensor histidine kinase DesK
ECADFAHP_00840	CDS	792				hypothetical protein
ECADFAHP_00841	CDS	2502				hypothetical protein
ECADFAHP_00842	CDS	723	yknY_2	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
ECADFAHP_00843	CDS	2010	yjcS_2	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
ECADFAHP_00844	CDS	1332	atsA_1	3.1.6.1	COG3119	Arylsulfatase
ECADFAHP_00845	CDS	1596	xylG	3.6.3.17	COG1129	Xylose import ATP-binding protein XylG
ECADFAHP_00846	CDS	969	rbsC		COG1172	Ribose import permease protein RbsC
ECADFAHP_00847	CDS	939	rbsB		COG1879	Ribose import binding protein RbsB
ECADFAHP_00848	CDS	1059	iolE_1	4.2.1.44	COG1082	Inosose dehydratase
ECADFAHP_00849	CDS	1146	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
ECADFAHP_00850	CDS	855	iolE_2	4.2.1.44	COG1082	Inosose dehydratase
ECADFAHP_00851	CDS	543				hypothetical protein
ECADFAHP_00852	CDS	1707	fdhL_1	1.1.99.11		Fructose dehydrogenase large subunit
ECADFAHP_00853	CDS	786				hypothetical protein
ECADFAHP_00854	CDS	399				hypothetical protein
ECADFAHP_00855	CDS	1002				hypothetical protein
ECADFAHP_00856	CDS	306				hypothetical protein
ECADFAHP_00857	CDS	1176				hypothetical protein
ECADFAHP_00858	CDS	675				hypothetical protein
ECADFAHP_00859	CDS	204				hypothetical protein
ECADFAHP_00860	CDS	543	ppiA_2	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
ECADFAHP_00861	CDS	1446	ethA	1.14.13.-		FAD-containing monooxygenase EthA
ECADFAHP_00862	CDS	1407	mleN_3		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
ECADFAHP_00863	CDS	1293	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
ECADFAHP_00864	CDS	405				hypothetical protein
ECADFAHP_00865	CDS	537	aauA	1.4.9.2		Aralkylamine dehydrogenase light chain
ECADFAHP_00866	CDS	669	mauD			Methylamine utilization protein MauD
ECADFAHP_00867	CDS	591	mauE			Methylamine utilization protein MauE
ECADFAHP_00868	CDS	1095	aauB	1.4.9.2		Aralkylamine dehydrogenase heavy chain
ECADFAHP_00869	CDS	858		3.1.1.23	COG2267	Monoacylglycerol lipase
ECADFAHP_00870	CDS	606				hypothetical protein
ECADFAHP_00871	CDS	924	rdgC		COG2974	Recombination-associated protein RdgC
ECADFAHP_00872	CDS	1776	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
ECADFAHP_00873	CDS	609	ligF			Protein LigF
ECADFAHP_00874	CDS	174				hypothetical protein
ECADFAHP_00875	CDS	186				hypothetical protein
ECADFAHP_00876	CDS	243				hypothetical protein
ECADFAHP_00877	CDS	168				hypothetical protein
ECADFAHP_00878	CDS	753				hypothetical protein
ECADFAHP_00879	CDS	1077	btsS_1	2.7.13.3	COG3275	Sensor histidine kinase BtsS
ECADFAHP_00880	CDS	759	btsR_1		COG3279	Transcriptional regulatory protein BtsR
ECADFAHP_00881	CDS	2517				hypothetical protein
ECADFAHP_00882	CDS	996				hypothetical protein
ECADFAHP_00883	CDS	1044	cpo	1.11.1.10		Non-heme chloroperoxidase
ECADFAHP_00884	CDS	2151	gcd_1	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
ECADFAHP_00885	CDS	2193				hypothetical protein
ECADFAHP_00886	CDS	840				hypothetical protein
ECADFAHP_00887	CDS	825	uspE_2		COG0589	Universal stress protein E 
ECADFAHP_00888	CDS	1311	steT		COG0531	Serine/threonine exchanger SteT
ECADFAHP_00889	CDS	291				hypothetical protein
ECADFAHP_00890	CDS	1155	lldD	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
ECADFAHP_00891	CDS	852	nucA_1	3.1.30.2		Nuclease
ECADFAHP_00892	CDS	1023				hypothetical protein
ECADFAHP_00893	CDS	228				hypothetical protein
ECADFAHP_00894	CDS	291				hypothetical protein
ECADFAHP_00895	CDS	1194		2.6.1.1		Aspartate aminotransferase
ECADFAHP_00896	CDS	474				hypothetical protein
ECADFAHP_00897	CDS	1353	patB	4.4.1.8	COG1168	Cystathionine beta-lyase PatB
ECADFAHP_00898	CDS	1149	pat	2.6.1.-	COG0079	Putative phenylalanine aminotransferase
ECADFAHP_00899	CDS	1413	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
ECADFAHP_00900	CDS	447	prdB	1.21.4.1		D-proline reductase subunit gamma
ECADFAHP_00901	CDS	681				hypothetical protein
ECADFAHP_00902	CDS	1524				hypothetical protein
ECADFAHP_00903	CDS	780				hypothetical protein
ECADFAHP_00904	CDS	1221	ytrF_1		COG0577	ABC transporter permease YtrF
ECADFAHP_00905	CDS	1224	ytrF_2		COG0577	ABC transporter permease YtrF
ECADFAHP_00906	CDS	690	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
ECADFAHP_00907	CDS	1203				hypothetical protein
ECADFAHP_00908	CDS	885	yadG_1		COG1131	putative ABC transporter ATP-binding protein YadG
ECADFAHP_00909	CDS	3603				hypothetical protein
ECADFAHP_00910	CDS	2166	copA			Copper resistance protein A
ECADFAHP_00911	CDS	729	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
ECADFAHP_00912	CDS	2670	ctpF	3.6.3.-		putative cation-transporting ATPase F
ECADFAHP_00913	CDS	1161	acdA_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
ECADFAHP_00914	CDS	513	hxlR		COG1733	HTH-type transcriptional activator HxlR
ECADFAHP_00915	CDS	717				hypothetical protein
ECADFAHP_00916	CDS	261				hypothetical protein
ECADFAHP_00917	CDS	675				hypothetical protein
ECADFAHP_00918	CDS	1842				hypothetical protein
ECADFAHP_00919	CDS	153				hypothetical protein
ECADFAHP_00920	CDS	171	merP			Mercuric transport protein periplasmic component
ECADFAHP_00921	CDS	390	merT			Mercuric transport protein MerT
ECADFAHP_00922	CDS	477				hypothetical protein
ECADFAHP_00923	CDS	393	ybcJ		COG2501	putative protein YbcJ
ECADFAHP_00924	CDS	504	yaeQ		COG4681	putative protein YaeQ
ECADFAHP_00925	CDS	1044	rsgA_2	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
ECADFAHP_00926	CDS	453				hypothetical protein
ECADFAHP_00927	CDS	468				hypothetical protein
ECADFAHP_00928	CDS	525				hypothetical protein
ECADFAHP_00929	CDS	1413	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
ECADFAHP_00930	CDS	642	yfcG_2	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
ECADFAHP_00931	CDS	555				hypothetical protein
ECADFAHP_00932	CDS	768				hypothetical protein
ECADFAHP_00933	CDS	741				hypothetical protein
ECADFAHP_00934	CDS	1557	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
ECADFAHP_00935	CDS	765				hypothetical protein
ECADFAHP_00936	CDS	933				hypothetical protein
ECADFAHP_00937	CDS	1134	ppsC_1	2.3.1.41		Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsC
ECADFAHP_00938	CDS	531	yrdA		COG0663	Protein YrdA
ECADFAHP_00939	CDS	975	cphA	3.5.2.6		Metallo-beta-lactamase type 2
ECADFAHP_00940	CDS	1707	atsA_2	3.1.6.1	COG3119	Arylsulfatase
ECADFAHP_00941	CDS	1698	nfdA_2	3.5.1.91		N-substituted formamide deformylase
ECADFAHP_00942	CDS	840				hypothetical protein
ECADFAHP_00943	CDS	528				hypothetical protein
ECADFAHP_00944	CDS	831				hypothetical protein
ECADFAHP_00945	CDS	1176	yliI_2	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
ECADFAHP_00946	CDS	1353			COG1228	putative protein
ECADFAHP_00947	CDS	1575	rebO_2	1.4.3.23		Flavin-dependent L-tryptophan oxidase RebO
ECADFAHP_00948	CDS	540				hypothetical protein
ECADFAHP_00949	CDS	354				hypothetical protein
ECADFAHP_00950	CDS	1080				hypothetical protein
ECADFAHP_00951	CDS	882				Cytochrome c4
ECADFAHP_00952	CDS	3615	narG	1.7.99.4	COG5013	Respiratory nitrate reductase 1 alpha chain
ECADFAHP_00953	CDS	1620	narH	1.7.99.4	COG1140	Respiratory nitrate reductase 1 beta chain
ECADFAHP_00954	CDS	726				hypothetical protein
ECADFAHP_00955	CDS	729	narV	1.7.99.4	COG2181	Respiratory nitrate reductase 2 gamma chain
ECADFAHP_00956	CDS	2745	narK		COG2223	Nitrate/nitrite transporter NarK
ECADFAHP_00957	CDS	1398	hemN_1	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
ECADFAHP_00958	CDS	1308	ade_1	3.5.4.2		Adenine deaminase
ECADFAHP_00959	CDS	2967	allB	3.5.2.5	COG0044	Allantoinase
ECADFAHP_00960	CDS	924				hypothetical protein
ECADFAHP_00961	CDS	1326				hypothetical protein
ECADFAHP_00962	CDS	1629				hypothetical protein
ECADFAHP_00963	CDS	336				hypothetical protein
ECADFAHP_00964	CDS	1923	quiA_2	1.1.5.8	COG4993	Quinate/shikimate dehydrogenase (quinone)
ECADFAHP_00965	CDS	504				hypothetical protein
ECADFAHP_00966	CDS	591	rsxG_1			Electron transport complex subunit RsxG
ECADFAHP_00967	CDS	495				hypothetical protein
ECADFAHP_00968	CDS	504				hypothetical protein
ECADFAHP_00969	CDS	1602		3.1.1.102		Mono(2-hydroxyethyl) terephthalate hydrolase
ECADFAHP_00970	CDS	489	mshD	2.3.1.189		Mycothiol acetyltransferase
ECADFAHP_00971	CDS	522				hypothetical protein
ECADFAHP_00972	CDS	135				hypothetical protein
ECADFAHP_00973	CDS	396				hypothetical protein
ECADFAHP_00974	CDS	135				hypothetical protein
ECADFAHP_00975	CDS	549				hypothetical protein
ECADFAHP_00976	CDS	1197				hypothetical protein
ECADFAHP_00977	CDS	804				hypothetical protein
ECADFAHP_00978	CDS	1152				hypothetical protein
ECADFAHP_00979	CDS	999				hypothetical protein
ECADFAHP_00980	CDS	1491		1.5.3.6		6-hydroxy-D-nicotine oxidase
ECADFAHP_00981	CDS	1020	aphA	3.5.1.-		Acetylpolyamine amidohydrolase
ECADFAHP_00982	CDS	1614	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
ECADFAHP_00983	CDS	567				hypothetical protein
ECADFAHP_00984	CDS	993				hypothetical protein
ECADFAHP_00985	CDS	993				hypothetical protein
ECADFAHP_00986	CDS	1287	inlA_2		COG4886	Internalin-A
ECADFAHP_00987	CDS	993				hypothetical protein
ECADFAHP_00988	CDS	1017				hypothetical protein
ECADFAHP_00989	CDS	1338				hypothetical protein
ECADFAHP_00990	CDS	1971	sldA_1	1.1.99.22		Glycerol dehydrogenase large subunit
ECADFAHP_00991	CDS	807				hypothetical protein
ECADFAHP_00992	CDS	1065	inlA_3		COG4886	Internalin-A
ECADFAHP_00993	CDS	1470				hypothetical protein
ECADFAHP_00994	CDS	1041				hypothetical protein
ECADFAHP_00995	CDS	1518				hypothetical protein
ECADFAHP_00996	CDS	768	dpp5	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
ECADFAHP_00997	CDS	1134	dhmA2_2	3.8.1.5		Haloalkane dehalogenase 2
ECADFAHP_00998	CDS	789	echA8	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
ECADFAHP_00999	CDS	192				hypothetical protein
ECADFAHP_01000	CDS	282				hypothetical protein
ECADFAHP_01001	CDS	1065				hypothetical protein
ECADFAHP_01002	CDS	366				hypothetical protein
ECADFAHP_01003	CDS	363			COG1733	putative HTH-type transcriptional regulator
ECADFAHP_01004	CDS	780				hypothetical protein
ECADFAHP_01005	CDS	2163	btuB_2			Vitamin B12 transporter BtuB
ECADFAHP_01006	CDS	765	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ECADFAHP_01007	CDS	633	gstB_2	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
ECADFAHP_01008	CDS	1200	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
ECADFAHP_01009	CDS	1047				hypothetical protein
ECADFAHP_01010	CDS	1167	smtB_1	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
ECADFAHP_01011	CDS	903		2.1.1.-		Putative S-adenosyl-L-methionine-dependent methyltransferase
ECADFAHP_01012	CDS	321				hypothetical protein
ECADFAHP_01013	CDS	588				hypothetical protein
ECADFAHP_01014	CDS	1965	iutA			Ferric aerobactin receptor
ECADFAHP_01015	CDS	450				hypothetical protein
ECADFAHP_01016	CDS	744				hypothetical protein
ECADFAHP_01017	CDS	447	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
ECADFAHP_01018	CDS	1725	nfdA_3	3.5.1.91		N-substituted formamide deformylase
ECADFAHP_01019	CDS	1170				hypothetical protein
ECADFAHP_01020	CDS	531				hypothetical protein
ECADFAHP_01021	CDS	1071	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
ECADFAHP_01022	CDS	522	dsbB		COG1495	Disulfide bond formation protein B
ECADFAHP_01023	CDS	855				hypothetical protein
ECADFAHP_01024	CDS	840		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
ECADFAHP_01025	CDS	1695		3.1.6.1	COG3119	Arylsulfatase
ECADFAHP_01026	CDS	1545		3.1.4.-		Multifunctional alkaline phosphatase superfamily protein
ECADFAHP_01027	CDS	999	pkn1_2	2.7.11.1	COG0515	Serine/threonine-protein kinase pkn1
ECADFAHP_01028	CDS	690				hypothetical protein
ECADFAHP_01029	CDS	372				hypothetical protein
ECADFAHP_01030	CDS	750				hypothetical protein
ECADFAHP_01031	CDS	1683	fdhL_2	1.1.99.11		Fructose dehydrogenase large subunit
ECADFAHP_01032	CDS	735				hypothetical protein
ECADFAHP_01033	CDS	975				hypothetical protein
ECADFAHP_01034	CDS	375				hypothetical protein
ECADFAHP_01035	CDS	1371	hemL_1	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
ECADFAHP_01036	CDS	1506	yagG		COG2211	Putative glycoside/cation symporter YagG
ECADFAHP_01037	CDS	933				hypothetical protein
ECADFAHP_01038	CDS	807	ucpA_2	1.-.-.-		Oxidoreductase UcpA
ECADFAHP_01039	CDS	1293		3.1.1.-		Carbohydrate esterase
ECADFAHP_01040	CDS	372				hypothetical protein
ECADFAHP_01041	CDS	720	lutR		COG2186	HTH-type transcriptional regulator LutR
ECADFAHP_01042	CDS	1104				hypothetical protein
ECADFAHP_01043	CDS	897				hypothetical protein
ECADFAHP_01044	CDS	1269	linC_1	1.14.13.151		Linalool 8-monooxygenase
ECADFAHP_01045	CDS	402	fdxE_1		COG0633	Ferredoxin-6
ECADFAHP_01046	tRNA	96				tRNA-SeC(tca)
ECADFAHP_01047	CDS	801				hypothetical protein
ECADFAHP_01048	CDS	1089	fabH2_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2
ECADFAHP_01049	CDS	309				hypothetical protein
ECADFAHP_01050	CDS	1338	dinF		COG0534	DNA damage-inducible protein F
ECADFAHP_01051	CDS	618	gstB_3	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
ECADFAHP_01052	CDS	732				hypothetical protein
ECADFAHP_01053	CDS	1182	macA_2		COG0845	Macrolide export protein MacA
ECADFAHP_01054	CDS	702	yknY_3	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
ECADFAHP_01055	CDS	1227	macB_2	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
ECADFAHP_01056	CDS	771				hypothetical protein
ECADFAHP_01057	CDS	1200				hypothetical protein
ECADFAHP_01058	CDS	1002				hypothetical protein
ECADFAHP_01059	CDS	561	sigM			ECF RNA polymerase sigma factor SigM
ECADFAHP_01060	CDS	387				hypothetical protein
ECADFAHP_01061	CDS	828		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
ECADFAHP_01062	CDS	453				hypothetical protein
ECADFAHP_01063	CDS	849	qmcA		COG0330	Protein QmcA
ECADFAHP_01064	CDS	909	ligA_1	6.5.1.2		DNA ligase
ECADFAHP_01065	CDS	345				hypothetical protein
ECADFAHP_01066	CDS	1434				hypothetical protein
ECADFAHP_01067	CDS	285				hypothetical protein
ECADFAHP_01068	CDS	204				hypothetical protein
ECADFAHP_01069	CDS	1185	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
ECADFAHP_01070	CDS	561				hypothetical protein
ECADFAHP_01071	CDS	384				hypothetical protein
ECADFAHP_01072	CDS	417	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
ECADFAHP_01073	CDS	1260			COG0683	Leu/Ile/Val-binding protein 
ECADFAHP_01074	CDS	951	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
ECADFAHP_01075	CDS	1242				hypothetical protein
ECADFAHP_01076	CDS	753	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ECADFAHP_01077	CDS	696	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
ECADFAHP_01078	CDS	993				hypothetical protein
ECADFAHP_01079	CDS	2193	trpE_1	4.1.3.27	COG0147	Anthranilate synthase component 1
